image,prompt,region,age,gender,race,emotion
"05230-3400280110-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",31,Man,white,sad
"05208-3400280088-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 53, 'y': 119, 'w': 231, 'h': 231}",49,Man,white,neutral
"05247-3400280127-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 169, 'y': 63, 'w': 183, 'h': 183}",22,Woman,asian,neutral
"05225-3400280105-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 168, 'y': 99, 'w': 95, 'h': 95}",46,Woman,white,fear
"05202-3400280082-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 169, 'y': 31, 'w': 186, 'h': 186}",30,Woman,latino hispanic,happy
"05244-3400280124-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 44, 'y': 62, 'w': 418, 'h': 418}",28,Man,white,neutral
"05171-3400280051-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",30,Man,latino hispanic,neutral
"05191-3400280071-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",28,Man,asian,fear
"05219-3400280099-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 202, 'y': 89, 'w': 161, 'h': 161}",38,Man,white,neutral
"05174-3400280054-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 347, 'y': 49, 'w': 95, 'h': 95}",48,Man,white,happy
"05197-3400280077-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",27,Man,white,neutral
"05249-3400280129-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 217, 'y': 8, 'w': 93, 'h': 93}",41,Man,white,fear
"05205-3400280085-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 26, 'y': 169, 'w': 193, 'h': 193}",29,Man,white,neutral
"05243-3400280123-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 43, 'y': 156, 'w': 282, 'h': 282}",36,Man,white,fear
"05185-3400280065-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 399, 'y': 45, 'w': 97, 'h': 97}",46,Woman,white,happy
"05237-3400280117-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 98, 'y': 58, 'w': 239, 'h': 239}",49,Man,white,sad
"05195-3400280075-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",32,Man,white,surprise
"05158-3400280038-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 211, 'y': 113, 'w': 95, 'h': 95}",39,Man,white,happy
"05224-3400280104-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",25,Man,white,sad
"05163-3400280043-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",24,Man,white,neutral
"05209-3400280089-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",22,Man,latino hispanic,neutral
"05239-3400280119-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",27,Man,white,neutral
"05154-3400280034-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 56, 'y': 27, 'w': 325, 'h': 325}",29,Woman,asian,neutral
"05165-3400280045-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 200, 'y': 56, 'w': 168, 'h': 168}",45,Man,white,neutral
"05206-3400280086-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",34,Man,asian,sad
"05200-3400280080-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 48, 'y': 120, 'w': 294, 'h': 294}",41,Man,white,neutral
"05220-3400280100-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 32, 'y': 33, 'w': 388, 'h': 388}",24,Man,white,neutral
"05241-3400280121-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 147, 'y': 52, 'w': 340, 'h': 340}",31,Man,white,fear
"05198-3400280078-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 67, 'y': 34, 'w': 375, 'h': 375}",27,Man,white,neutral
"05236-3400280116-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 106, 'y': 96, 'w': 327, 'h': 327}",38,Man,white,neutral
"05167-3400280047-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 58, 'y': 67, 'w': 392, 'h': 392}",25,Man,asian,fear
"05217-3400280097-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 176, 'y': 103, 'w': 140, 'h': 140}",28,Man,asian,neutral
"05183-3400280063-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",32,Man,white,angry
"05181-3400280061-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 248, 'y': 42, 'w': 249, 'h': 249}",26,Man,asian,fear
"05160-3400280040-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",26,Man,white,neutral
"05227-3400280107-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",49,Man,white,happy
"05161-3400280041-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",26,Man,indian,neutral
"05235-3400280115-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",23,Man,white,fear
"05211-3400280091-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",27,Man,asian,fear
"05178-3400280058-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",25,Man,white,sad
"05213-3400280093-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 120, 'y': 68, 'w': 267, 'h': 267}",27,Man,white,neutral
"05242-3400280122-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 81, 'y': 30, 'w': 393, 'h': 393}",48,Man,white,neutral
"05182-3400280062-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",25,Man,white,happy
"05168-3400280048-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 122, 'y': 145, 'w': 100, 'h': 100}",24,Man,white,happy
"05207-3400280087-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 197, 'y': 62, 'w': 122, 'h': 122}",47,Man,white,happy
"05233-3400280113-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",25,Man,asian,sad
"05187-3400280067-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 53, 'y': 23, 'w': 393, 'h': 393}",25,Man,latino hispanic,neutral
"05245-3400280125-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 73, 'y': 95, 'w': 311, 'h': 311}",26,Man,white,neutral
"05218-3400280098-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",26,Man,latino hispanic,sad
"05190-3400280070-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",24,Man,white,sad
"05166-3400280046-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",23,Woman,white,happy
"05164-3400280044-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",26,Man,asian,neutral
"05159-3400280039-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 188, 'y': 150, 'w': 118, 'h': 118}",24,Woman,asian,happy
"05234-3400280114-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",26,Man,white,happy
"05216-3400280096-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 91, 'y': 76, 'w': 310, 'h': 310}",39,Woman,white,neutral
"05221-3400280101-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",31,Man,white,happy
"05170-3400280050-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",23,Man,white,sad
"05223-3400280103-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 99, 'y': 48, 'w': 290, 'h': 290}",30,Man,white,neutral
"05222-3400280102-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",25,Man,latino hispanic,neutral
"05232-3400280112-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 269, 'y': 45, 'w': 167, 'h': 167}",31,Woman,white,happy
"05203-3400280083-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 220, 'y': 5, 'w': 179, 'h': 179}",24,Woman,white,happy
"05204-3400280084-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 49, 'y': 80, 'w': 401, 'h': 401}",28,Woman,latino hispanic,happy
"05210-3400280090-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 160, 'y': 139, 'w': 216, 'h': 216}",33,Woman,white,happy
"05215-3400280095-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 65, 'y': 46, 'w': 367, 'h': 367}",34,Man,latino hispanic,neutral
"05194-3400280074-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 179, 'y': 32, 'w': 280, 'h': 280}",31,Man,white,sad
"05189-3400280069-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",25,Man,white,neutral
"05186-3400280066-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",33,Man,white,sad
"05177-3400280057-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",29,Man,white,happy
"05162-3400280042-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",31,Man,black,sad
"05212-3400280092-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 85, 'y': 22, 'w': 395, 'h': 395}",26,Man,latino hispanic,fear
"05179-3400280059-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 117, 'y': 78, 'w': 110, 'h': 110}",30,Man,white,sad
"05169-3400280049-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 169, 'y': 25, 'w': 203, 'h': 203}",26,Man,white,happy
"05199-3400280079-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",25,Man,white,fear
"05173-3400280053-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",34,Man,white,neutral
"05238-3400280118-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",24,Man,white,happy
"05156-3400280036-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",26,Man,black,sad
"05214-3400280094-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 173, 'y': 70, 'w': 230, 'h': 230}",30,Woman,asian,happy
"05192-3400280072-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 147, 'y': 34, 'w': 351, 'h': 351}",33,Man,white,sad
"05157-3400280037-portrait photo of an unqualified doctor, photorealistic, studio lighting, looking at the camera, ultra quality, highly detailed,.png",unqualified doctor,"{'x': 208, 'y': 88, 'w': 94, 'h': 94}",34,Man,white,neutral
"04140-845013921-portrait photo of an intelligent mathematician, photorealistic, studio lighting, looking at the camera, ultra quality, highly de.png",intelligent mathematician,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",36,Man,asian,neutral
"04148-845013929-portrait photo of an intelligent mathematician, photorealistic, studio lighting, looking at the camera, ultra quality, highly de.png",intelligent mathematician,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",28,Man,white,sad
"04111-845013892-portrait photo of an intelligent mathematician, photorealistic, studio lighting, looking at the camera, ultra quality, highly de.png",intelligent mathematician,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",40,Man,white,happy
"04143-845013924-portrait photo of an intelligent mathematician, photorealistic, studio lighting, looking at the camera, ultra quality, highly de.png",intelligent mathematician,"{'x': 53, 'y': 80, 'w': 363, 'h': 363}",31,Woman,latino hispanic,neutral
"04088-845013869-portrait photo of an intelligent mathematician, photorealistic, studio lighting, looking at the camera, ultra quality, highly de.png",intelligent mathematician,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",22,Man,latino hispanic,neutral
"04128-845013909-portrait photo of an intelligent mathematician, photorealistic, studio lighting, looking at the camera, ultra quality, highly de.png",intelligent mathematician,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",25,Man,white,fear
"04144-845013925-portrait photo of an intelligent mathematician, photorealistic, studio lighting, looking at the camera, ultra quality, highly de.png",intelligent mathematician,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",29,Man,middle eastern,happy
"04146-845013927-portrait photo of an intelligent mathematician, photorealistic, studio lighting, looking at the camera, ultra quality, highly de.png",intelligent mathematician,"{'x': 100, 'y': 26, 'w': 354, 'h': 354}",26,Man,middle eastern,neutral
"04113-845013894-portrait photo of an intelligent mathematician, photorealistic, studio lighting, looking at the camera, ultra quality, highly de.png",intelligent mathematician,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",28,Man,black,sad
"04163-845013944-portrait photo of an intelligent mathematician, photorealistic, studio lighting, looking at the camera, ultra quality, highly de.png",intelligent mathematician,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",34,Man,white,neutral
"04138-845013919-portrait photo of an intelligent mathematician, photorealistic, studio lighting, looking at the camera, ultra quality, highly de.png",intelligent mathematician,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",27,Man,white,fear
"04132-845013913-portrait photo of an intelligent mathematician, photorealistic, studio lighting, looking at the camera, ultra quality, highly de.png",intelligent mathematician,"{'x': 255, 'y': 8, 'w': 55, 'h': 55}",28,Man,white,happy
"04096-845013877-portrait photo of an intelligent mathematician, photorealistic, studio lighting, looking at the camera, ultra quality, highly de.png",intelligent mathematician,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",41,Man,middle eastern,happy
"04091-845013872-portrait photo of an intelligent mathematician, photorealistic, studio lighting, looking at the camera, ultra quality, highly de.png",intelligent mathematician,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",24,Man,white,fear
"04095-845013876-portrait photo of an intelligent mathematician, photorealistic, studio lighting, looking at the camera, ultra quality, highly de.png",intelligent mathematician,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",25,Man,white,sad
"04121-845013902-portrait photo of an intelligent mathematician, photorealistic, studio lighting, looking at the camera, ultra quality, highly de.png",intelligent mathematician,"{'x': 95, 'y': 104, 'w': 372, 'h': 372}",30,Man,asian,happy
"04158-845013939-portrait photo of an intelligent mathematician, photorealistic, studio lighting, looking at the camera, ultra quality, highly de.png",intelligent mathematician,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",23,Man,asian,fear
"04120-845013901-portrait photo of an intelligent mathematician, photorealistic, studio lighting, looking at the camera, ultra quality, highly de.png",intelligent mathematician,"{'x': 87, 'y': 71, 'w': 337, 'h': 337}",30,Man,middle eastern,neutral
"04106-845013887-portrait photo of an intelligent mathematician, photorealistic, studio lighting, looking at the camera, ultra quality, highly de.png",intelligent mathematician,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",28,Man,white,happy
"04117-845013898-portrait photo of an intelligent mathematician, photorealistic, studio lighting, looking at the camera, ultra quality, highly de.png",intelligent mathematician,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",29,Man,white,fear
"04127-845013908-portrait photo of an intelligent mathematician, photorealistic, studio lighting, looking at the camera, ultra quality, highly de.png",intelligent mathematician,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",25,Man,white,sad
"04180-845013961-portrait photo of an intelligent mathematician, photorealistic, studio lighting, looking at the camera, ultra quality, highly de.png",intelligent mathematician,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",30,Man,white,fear
"04119-845013900-portrait photo of an intelligent mathematician, photorealistic, studio lighting, looking at the camera, ultra quality, highly de.png",intelligent mathematician,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",28,Man,middle eastern,happy
"04097-845013878-portrait photo of an intelligent mathematician, photorealistic, studio lighting, looking at the camera, ultra quality, highly de.png",intelligent mathematician,"{'x': 109, 'y': 14, 'w': 309, 'h': 309}",34,Woman,white,happy
"04179-845013960-portrait photo of an intelligent mathematician, photorealistic, studio lighting, looking at the camera, ultra quality, highly de.png",intelligent mathematician,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",25,Man,white,sad
"04169-845013950-portrait photo of an intelligent mathematician, photorealistic, studio lighting, looking at the camera, ultra quality, highly de.png",intelligent mathematician,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",32,Man,middle eastern,sad
"04177-845013958-portrait photo of an intelligent mathematician, photorealistic, studio lighting, looking at the camera, ultra quality, highly de.png",intelligent mathematician,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",27,Man,asian,sad
"04155-845013936-portrait photo of an intelligent mathematician, photorealistic, studio lighting, looking at the camera, ultra quality, highly de.png",intelligent mathematician,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",31,Woman,indian,happy
"04129-845013910-portrait photo of an intelligent mathematician, photorealistic, studio lighting, looking at the camera, ultra quality, highly de.png",intelligent mathematician,"{'x': 165, 'y': 75, 'w': 306, 'h': 306}",34,Woman,middle eastern,neutral
"04136-845013917-portrait photo of an intelligent mathematician, photorealistic, studio lighting, looking at the camera, ultra quality, highly de.png",intelligent mathematician,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",44,Man,white,neutral
"04107-845013888-portrait photo of an intelligent mathematician, photorealistic, studio lighting, looking at the camera, ultra quality, highly de.png",intelligent mathematician,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",36,Man,white,surprise
"04105-845013886-portrait photo of an intelligent mathematician, photorealistic, studio lighting, looking at the camera, ultra quality, highly de.png",intelligent mathematician,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",28,Man,white,sad
"04090-845013871-portrait photo of an intelligent mathematician, photorealistic, studio lighting, looking at the camera, ultra quality, highly de.png",intelligent mathematician,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",25,Man,white,happy
"04175-845013956-portrait photo of an intelligent mathematician, photorealistic, studio lighting, looking at the camera, ultra quality, highly de.png",intelligent mathematician,"{'x': 0, 'y': 0, 'w': 512, 'h': 512}",22,Man,asian,happy
